OBJECTID,Shape_Length,bearing,bearing_corrected,x_coord,y_coord
185,2106.196582,95.77012783,95.77012783,-583499.6242,1618395.802
186,1918.746435,101.0331411,101.0331411,-583764.3244,1618022.124
187,1906.63528,107.077235,107.077235,-584564.5409,1616501.734
188,1712.006998,121.4580932,121.4580932,-585122.5567,1615400.966
189,2817.5417,273.8730461,93.87304615,-580564.6251,1620311.202
190,3316.719985,278.8317037,98.83170372,-580921.6556,1620901.39
191,2253.867445,108.3006861,108.3006861,-585950.5744,1622717.272
192,1820.942861,93.35174295,93.35174295,-583562.748,1622364.566
193,2163.965728,277.2558121,97.25581207,-582024.1806,1623368.594
194,1991.296822,276.6267649,96.62676494,-581862.9023,1622993.021
195,1868.442855,274.6223041,94.62230409,-581862.003,1622767.248
196,1852.094327,110.7607214,110.7607214,-585637.6106,1622185.901
197,2347.426094,111.4442612,111.4442612,-585736.7929,1622430.302
198,1574.423921,281.1546174,101.1546174,-582400.1106,1623836.301
199,1132.157924,287.5225718,107.5225718,-584794.7924,1623945.001
200,1309.828791,108.9429835,108.9429835,-585966.1232,1624095.292
201,1647.562885,109.6557493,109.6557493,-586312.3122,1625226.251
202,1335.768627,106.0028812,106.0028812,-585992.0785,1625973.226
203,2709.991008,110.7004374,110.7004374,-586370.2251,1625268.062
204,2383.119324,99.45462978,99.45462978,-583885.1795,1624371.851
205,1608.964574,98.85338934,98.85338934,-583914.04,1624545.754
206,1746.009377,289.2768443,109.2768443,-581189.9428,1624795.057
207,1537.643699,287.5564741,107.5564741,-581075.4053,1624518.045
208,5754.463185,109.0692411,109.0692411,-586302.0617,1625964.743
209,4439.866947,106.8151736,106.8151736,-586141.3692,1625883.218
210,2736.161936,108.7217049,108.7217049,-586314.5871,1626709.552
211,5507.941557,108.1581601,108.1581601,-586442.39,1626908.218
212,4958.942812,108.1996181,108.1996181,-586344.6261,1626720.2
213,5357.278866,107.9279028,107.9279028,-586308.064,1627322.708
214,4632.417649,108.0693979,108.0693979,-585659.2645,1627012.122
215,5199.358264,108.2372434,108.2372434,-586110.9739,1627640.995
216,5749.702244,288.5213169,108.5213169,-580609.1201,1628504.682
218,5329.480478,108.8513416,108.8513416,-585951.3452,1627874.815
219,5510.659556,109.7614398,109.7614398,-586015.7966,1628300.365
220,1447.387271,110.1560412,110.1560412,-585637.9103,1631502.056
221,1264.32036,108.5392788,108.5392788,-585599.5393,1630947.795
222,1099.025768,109.0350659,109.0350659,-585782.7867,1630365.87
223,1068.241012,107.1055986,107.1055986,-585808.3103,1630166.242
224,1076.485308,108.4565702,108.4565702,-585589.4755,1630730.224
225,2509.188609,96.6222588,96.6222588,-581563.6853,1630527.17
226,2758.091379,97.85331273,97.85331273,-581535.6779,1630191.017
227,2654.143028,98.36752563,98.36752563,-581266.8665,1629593.675
228,1281.023288,114.6921995,114.6921995,-582079.2105,1628850.428
229,2199.124055,97.13470336,97.13470336,-580721.4924,1628695.445
230,2284.206632,97.97910027,97.97910027,-580928.6789,1629355.076
231,1923.83406,95.2761807,95.2761807,-580486.6411,1627840.469
,,,,,
